"id","cca2","name"
"1","BR","America/Sao_Paulo"
"2","VE","America/Caracas"
"3","US","America/New_York"
"4","US","America/Chicago"
"5","US","America/Denver"
"6","US","America/Los_Angeles"
"7","US","America/Anchorage"
"8","US","Pacific/Honolulu"
"9","NC","Pacific/Noumea"
"10","GB","Europe/London"
"11","FR","Europe/Paris"
"12","RU","Europe/Moscow"
"13","EG","Africa/Cairo"
"14","AE","Asia/Dubai"
"15","BD","Asia/Dhaka"
"16","HK","Asia/Hong_Kong"
"17","JP","Asia/Tokyo"
"18","PK","Asia/Karachi"
"19","AU","Australia/Sydney"
"20","AU","Australia/Brisbane"
"21","AU","Australia/Adelaide"
"22","AU","Australia/Darwin"
